,Ticker,Conversations,Headlines,HeadlinesL2Delta,ConversationL2Delta,HeadlinesR2,ConversationR2,HeadlinePascal,ConversationPascal
1156,KRC,0.8537,0.1257675,-0.7502,0.0,0.2207094122616677,0,0.2673446425750851,0.8537
1157,PSTG,0.335155,-0.006168965517241379,0.0,-0.1531,0.004928006383312344,0.0038032642941886402,0.024417129413115857,0.00461252142715679
1158,DCI,0.9701,0.12453714285714287,0.0,0.0,0.01580061403765446,0,0.01632155424526743,0.9701
1159,BC,0.70035,0.16641272727272727,0.0,-0.5577,0.15163915746036205,1.0,0.12742688767599344,0.560925
1160,OSK,0.79875,0.21239803921568629,0.23820000000000002,0.1875,0.13782139943847938,1.0,0.46216251870662706,0.845625
1161,CHE,0.8403,0.18832000000000002,-0.6486,-0.11249999999999993,0.0013461259775554158,0.05921913825578992,0.2899307629694914,0.83495
1162,FAF,0.15001142189736907,0.13915000000000002,0.2732,0.038566981132075476,0.017393139078430597,0,-0.07611081458438188,0
1163,DNB,0.15001142189736907,0.15058684210526319,0.0,0.038566981132075476,0.038185895609472144,0,0.0802752938336481,0
1164,WMS,0.4215,0.2726142857142857,-0.25,0.0,0.020716756732757326,0,0.2715681716186524,0.4215
1165,OMF,0.19644,0.07888490566037738,-0.128,0.6456000000000001,0.0773243441345213,0.3459059817648488,0.0283866849281968,0.480816015625
1166,PII,0.38075000000000003,0.015329310344827565,-0.4404,-0.08149999999999996,0.04615401113000398,1.0,0.15399772377662446,0.360375
1167,USFD,0.15001142189736907,0.04408571428571429,0.3818,0.038566981132075476,0.13012487295572475,0,-0.12237176954110679,0
1168,PAG,0.15001142189736907,-0.002297368421052621,0.567,0.038566981132075476,0.1735638057215323,0,-0.17313775197037753,0
1169,TOL,-0.09713,0.1534666666666667,-0.5079,0.8019,0.03051079038919362,0.0450793023234994,0.28018508300279504,-0.28525450401306146
1170,NCNO,0.714725,0.19207358490566037,0.7184,0.13770000000000004,0.044528075558694646,0.010013075128168127,0.11564607081381155,0.6830328125
1171,BLD,0.15001142189736907,-0.0015459459459459483,-0.2732,0.038566981132075476,0.04355422344476032,0,0.12846187661337638,0
1172,FCNCA,0.15001142189736907,0.12638545454545452,-0.2023,0.038566981132075476,1.761556770727332e-05,0,0.11079740156845665,0
1173,NLSN,0.15001142189736907,0.466075,0.0,0.038566981132075476,0.03747571323706036,0,0.5467532104492188,0
1174,IAA,0.15001142189736907,0.2390714285714286,-0.7003,0.038566981132075476,0.02325007737536007,0,0.3534244873046875,0
1175,RGLD,-0.2732,0.06447179487179487,0.0,0.0,0.0064852412429325015,0,0.02249368886141452,-0.2732
1176,MAT,0.15001142189736907,0.20504411764705882,0.0,0.038566981132075476,0.005387581871618039,0,0.18643745572672546,0
1177,BEPC,0.5233222222222221,0.16403750000000003,0.0,-0.1866,0.02580102304444592,0.015598116069649098,0.031109989296637244,0.6837505307475074
1178,ORI,0.8946,0.23471600000000004,-0.2023,0.0,0.0008776348351296748,0,0.09842122617619851,0.8946
1179,STWD,0.24345000000000003,0.3225333333333334,0.3374999999999999,-0.3362,0.34550741158159143,2.7085530919084055e-05,0.5907007032423534,0.4228131864636256
1180,VOYA,0.15001142189736907,0.032042622950819666,-0.296,0.038566981132075476,0.09939322958612408,0,-0.26274416631807995,0
1181,CASY,0.26225,0.05288793103448277,0.1628,1.2045000000000001,0.0020976568680876806,0,0.1984148213436059,0.5633750000000001
1182,ALK,0.49253076923076927,0.1864958904109589,0.128,-0.07250000000000001,0.09011215881990867,0.0316206625469436,-0.028829184129245698,0.5508857813596725
1183,SHC,0.15001142189736907,-0.036486206896551715,0.2023,0.038566981132075476,0.07945050523513375,0,0.13098120575106223,0
1184,NVST,0.15001142189736907,0.022480392156862736,0.3412,0.038566981132075476,0.05965868408539878,0,0.17375873383044305,0
1185,BYND,-0.05431052631578946,-0.050894545454545456,0.0,1.0484,0.12017161833757249,0.0018698943569464375,0.11383700571736727,-0.09776070820844936
1186,FR,0.7692500000000001,0.2716075000000001,0.5106,0.1411,0.004957981429062935,0.04388343805778343,0.2752727242384839,0.7157068969726562
1187,PNFP,0.15001142189736907,0.032222000000000015,-0.1779,0.038566981132075476,2.8378343464494803e-05,0,-0.06324784084833045,0
1188,SF,0.15001142189736907,0.0987566037735849,0.7717,0.038566981132075476,0.01766165987498422,0,0.27440510351648406,0
1189,BRX,0.9095,0.1290767441860465,0.0,0.0,0.01677235746656652,0,0.06140902714266487,0.9095
1190,OGE,0.4215,0.3526733333333331,-0.38649999999999995,0.0,0.02501206624961973,0,0.41125007260264473,0.4215
1191,X,0.09463999999999999,0.09063124999999998,-0.30960000000000004,0.6799,0.1740151045507073,0.0019616837753847335,-0.12020459222990806,0.20241715476349936
1192,ALGM,-0.4767,0.16284130434782612,0.0,0.0,0.0004281893020361673,0,0.21747655224741796,-0.4767
1193,ACC,0.15001142189736907,0.0375,0.0,0.038566981132075476,0.0008888075500505811,0,-0.04002431640625,0
1194,MTZ,0.296,0.03473589743589743,0.9186000000000001,0.0,0.03882201243538175,0,0.09698681710765195,0.296
1195,POST,0.0899,0.08697727272727272,0.7096,0.0,0.016151230787831462,0,0.12359074662509971,0.0899
1196,PPC,-0.03886666666666667,0.29905641025641017,0.6778,0.024,2.217348471666815e-07,0,0.11245781214606111,0.006212499999999999
1197,WH,0.15001142189736907,0.1716967741935484,0.018399999999999972,0.038566981132075476,0.020709908523954254,0,0.17263632143446345,0
1198,EEFT,0.7096,0.2555515151515152,0.0,0.0,0.0305131969286974,0,0.27263976484362545,0.7096
1199,SRPT,0.38845833333333335,0.16675454545454546,0.0,-0.4645,0.017292830962674813,0.04776644436001802,0.1676076170582831,0.4911480854034424
1200,AXTA,0.15001142189736907,0.11377948717948719,-0.1531,0.038566981132075476,0.03514785780515419,0,0.04556955994836737,0
1201,LFUS,0.3182,0.1910368421052632,0.0,0.0,0.00277356016329699,0,0.21255948432837846,0.3182
1202,HBI,-0.24825000000000003,0.25028249999999996,-0.34,-1.4141,0.07601435736730194,0,0.2181027005378181,-0.601775
1203,BYD,0.6908,0.07788867924528303,0.0,0.0,0.026727111466790597,0,-0.2165709496717252,0.6908
1204,COLM,0.15001142189736907,0.09660666666666669,-0.4404,0.038566981132075476,0.0787072011107967,0,0.15875865471342085,0
1205,AMG,0.15001142189736907,0.27495185185185184,-0.2732,0.038566981132075476,0.04595178445957915,0,0.05013757461039353,0
1206,CHPT,0.30846,-0.04010147058823531,-0.09369999999999998,0.24119999999999997,0.038993817250402275,0.42422863388045906,-0.0838110595176476,0.281539453125
